afferenet,animal,use,popCode,dontUSE,figure,cell,treatment,treatment_text,treatment_class,Cancer,Chemotherapy,note,#NAME?,autoClass,manualClass,high_firing_Hz,receptiveField,Trial#,TrigStart.R,ms.F,Dyn.pfr,stat.halfHold,stat.firstSpikeHold,Stat.HzEnd,dyn.halfRamp,Stat.pps,Stat.avg,Stat.HzSTD,Dyn.IB,Thr.T,Thr.F,Thr.L,Stat.LSpkT,Stat.LSpkF,Dyn.spkNum,Stat.spkNum,Dyn.DI,Dyn.slp,Stat.slp,cond_delay
A100401_22_161_15,A100401_22_161,0,,,,15,3,ox,ox_sa1,0,1,,3,sa1,ra2,,,,80.421,1.014755,226.449275,1.291429,208.333333,3.83671,219.298246,0.215572,21.92897,56.738931,226.449275,18.014,6.755965,0.143892,9461.262,19.735791,7,13,225.157846,3883.007731,-8.872003,
A100401_22_161_15,A100401_22_161,0,,,,15,3,ox,ox_sa1,0,1,,3,sa1,ra2,,,,94.551999,0.99504,191.131498,0.190462,191.131498,1.106567,179.597701,0.100375,49.257636,94.601674,236.742424,19.079,7.138439,0.147753,6374.103,20.66585,7,4,190.941036,3163.987823,-19.261223,
A100401_22_163_1,A100401_22_163,1,,,,1,1,wt,wt_ra1,0,0,,1,ra1,ra2,167,,,66.970998,3.203075,70.621469,0.070947,46.193644,46.193644,0.071209,0.070947,46.193644,0,0,35.312,13.993034,0.14262,21.12,22.647312,2,2,70.550522,4982.362972,0,
A100401_22_163_1,A100401_22_163,0,,,,1,1,wt,wt_ra1,0,0,,1,ra1,ra2,167,,,81.102,3.137613,0.070947,0.070999,64.102564,30.193237,0.070947,0.070999,47.1479,23.977515,0,35.174,14.070123,0.137557,33.894,22.362846,2,2,-0.000052,0,0,
A100401_22_163_1,A100401_22_163,0,,,,1,1,wt,wt_ra1,0,0,,1,ra1,ra2,167,,,95.232999,3.157238,0.070999,0.070843,62.562563,62.562563,0.070999,0.070843,62.562563,0,0,37.583,14.878105,0.142773,3.567,22.422427,2,1,0.000156,0,0,
A100401_22_163_2,A100401_22_163,1,1,,,2,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,57.670998,0.457173,257.201646,7.87352,270.562771,14.838557,260.416667,2.695127,50.003277,60.465367,310.945274,14.192,5.471593,0.274416,9681.792,19.422622,12,130,249.328126,2356.327801,-12.168922,
A100401_22_163_2,A100401_22_163,0,,,0,2,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,270.552999,1.741278,189.393939,4.535888,189.393939,15.500992,208.333333,9.525987,22.614667,30.360019,231.481481,9.983,3.483949,0.091039,9940.575,21.419707,10,80,184.858051,-216.668996,-4.221329,
A100401_22_163_2,A100401_22_163,0,,,0,2,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,284.683998,1.665093,189.393939,3.055189,175.070028,10.640109,204.248366,3.550935,27.816218,39.260951,224.014337,9.272,4.080204,0.17371,9771.768,21.043505,10,58,186.33875,-235.151632,-6.035979,
A100401_22_163_2,A100401_22_163,0,,,0,2,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,298.815,1.549005,187.687688,2.753911,173.611111,1.692941,189.393939,2.758286,31.761078,45.337223,200.320513,9.326,4.08385,0.140328,9690.126,21.404266,9,55,184.933777,22.225653,-9.432599,
A100401_22_163_3,A100401_22_163,0,,,,3,1,wt,wt_ra1,0,0,,1,ra1,ra1,40,,,3.975999,1.682584,129.399586,0.071339,120.423892,12.557766,107.388316,0.071339,66.490829,76.272869,0,9.527,3.997682,0.065207,80.919,21.142323,6,2,129.328247,-596.354979,0,
A100401_22_163_3,A100401_22_163,0,,,,3,1,wt,wt_ra1,0,0,,1,ra1,ra1,40,,,18.106998,1.700124,141.723356,0.070949,142.694064,142.694064,124.750499,0.070949,142.694064,0,0,17.504,6.874588,0.096917,4.848,21.188827,6,1,141.652407,3903.868152,0,
A100401_22_163_3,A100401_22_163,1,,,,3,1,wt,wt_ra1,0,0,,1,ra1,ra1,40,,,32.238,1.578726,145.687646,0.070945,145.687646,145.687646,123.274162,0.070945,145.687646,0,0,18.47,7.77473,0.075574,5.142,21.061489,6,1,145.616701,4138.563114,0,
A100401_22_163_5,A100401_22_163,0,,,,5,1,wt,wt_ra2,0,0,,2,ra2,ra2,167,,,1.489998,0.668041,100.644122,0.099853,29.508971,29.508971,29.508971,0.099853,29.508971,0,473.484848,5.48,2.675087,0.069208,4.152,20.447141,5,5,100.544269,0,0,
A100401_22_163_5,A100401_22_163,0,,,,5,1,wt,wt_ra2,0,0,,2,ra2,ra2,167,,,15.621,0.690172,228.937729,0.099815,84.688347,84.688347,126.262626,0.099815,84.688347,0,473.484848,5.87,1.48475,0.075743,4.734,19.848052,8,4,228.837914,5022.459532,0,
A100401_22_163_5,A100401_22_163,1,1,,1,5,1,wt,wt_ra2,0,0,,2,ra2,ra2,167,,,29.751999,0.69796,77.736318,0.099687,0.099687,77.736318,132.696391,0.099687,0,0,393.081761,5.975,2.268239,0.087945,-4.281,18.582661,7,3,77.636631,-1579.774748,0,
A100401_22_163_6,A100401_22_163,1,,,0,6,1,wt,wt_sa1,0,0,,3,sa1,ra1,,,,64.095,0.616142,137.969095,0.356802,135.281385,0.977494,194.70405,0.39032,24.822192,45.041759,214.776632,14.078,4.95695,0.154908,7498.446,20.098551,7,11,137.612293,-2004.864383,-10.848922,
A100401_22_163_6,A100401_22_163,0,,,0,6,1,wt,wt_sa1,0,0,,3,sa1,ra1,,,,78.225999,0.565735,129.399586,0.906349,103.648425,0.461466,148.809524,0.351049,41.148218,60.127335,0,15.671,6.195361,0.175492,7217.511,19.474575,6,11,128.493237,-772.378686,-23.86294,
A100401_22_163_6,A100401_22_163,0,,,0,6,1,wt,wt_sa1,0,0,,3,sa1,ra1,,,,92.356998,0.598147,119.047619,0.18475,117.702448,0.347315,126.262626,0.18475,42.316967,43.078376,0,17.984,6.425256,0.168769,4652.256,20.010811,5,8,118.862869,4507.056593,-36.330429,
A100401_22_163_7,A100401_22_163,1,,,,7,1,wt,wt_sa1,0,0,,3,sa1,ra1,,,,16.110999,0.91972,66.56017,0.139832,0.343082,0.343082,71.83908,0.139832,0.343082,0,0,11.951,5.347464,0.212305,2914.287,20.361763,4,4,66.420338,-563.138043,0,
A100401_22_163_7,A100401_22_163,0,,,,7,1,wt,wt_sa1,0,0,,3,sa1,ra1,,,,30.241998,0.811478,166.666667,0.116397,0.116397,0.116397,65.513627,0.669172,0.116397,0,0,14.984,6.01792,0.212077,8577.528,20.173755,3,2,166.55027,16858.83997,0,
A100401_22_163_7,A100401_22_163,0,,,,7,1,wt,wt_sa1,0,0,,3,sa1,ra1,,,,44.373,0.783063,99.206349,0.185781,0.212025,0.212025,99.206349,0.185781,0.212025,0,0,18.686,8.178388,0.321356,4695.198,20.461854,2,2,99.020568,9817.26917,0,
A100401_22_163_8,A100401_22_163,1,,,,8,1,wt,wt_ra1,0,0,,1,ra1,ra1,40,,,8.028,1.346471,109.649123,0.071249,96.450617,42.517007,72.087659,0.071249,67.488976,19.938489,0,14.822,6.200817,0.227307,78.246,20.708175,4,5,109.577874,1891.806442,-1719.609152,
A100401_22_163_8,A100401_22_163,0,,,,8,1,wt,wt_ra1,0,0,,1,ra1,ra1,40,,,22.158999,1.318773,73.877069,0.070949,88.652482,52.083333,0.071249,0.070949,70.367908,25.858293,0,32.495,12.263004,0.354266,26.511,21.391188,2,2,73.80612,5452.557578,0,
A100401_22_163_8,A100401_22_163,0,,,,8,1,wt,wt_ra1,0,0,,1,ra1,ra1,40,,,36.289998,1.376267,0.070949,0.070793,84.345479,84.345479,0.070949,0.070793,84.345479,0,0,40.136,15.856357,0.383576,1.992,20.831516,2,1,0.000156,0,0,
A100401_22_163_9,A100401_22_163,1,1,,,9,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,11.173998,1.313545,306.372549,4.333957,320.512821,10.564571,372.02381,21.367521,40.784149,73.478636,378.787879,8.648,3.278987,0.119153,9976.152,21.264757,16,96,302.038592,-1279.784192,-13.18121,
A100401_22_163_9,A100401_22_163,0,,,0,9,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,25.305,1.181054,267.094017,1.083997,242.248062,1.713972,365.497076,1.209342,43.11301,64.212269,378.787879,9.806,3.017474,0,9196.83,20.812444,15,46,266.01002,-1215.536305,-13.404112,
A100401_22_163_9,A100401_22_163,0,,,0,9,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,39.435999,1.116753,248.015873,1.157086,191.131498,6.788313,372.02381,0.375666,47.477304,59.635876,393.081761,9.767,3.736451,0,7363.863,20.374116,14,36,246.858787,-1607.103172,-18.208655,
A100401_22_163_10,A100401_22_163,0,,,,10,1,wt,wt_ra1,0,0,,1,ra1,ra2,100,,,7.917999,0.584969,226.449275,0.056024,0.056024,226.449275,0.056024,0.056024,0,0,226.449275,8.423,3.937809,0.15901,-37.161,4.963829,2,0,226.393251,0,0,
A100401_22_163_10,A100401_22_163,1,,,,10,1,wt,wt_ra1,0,0,,1,ra1,ra2,100,,,25.770999,0.672593,139.821029,0.070792,0.070792,139.821029,0.070792,0.070792,0,0,0,9.359,3.491059,0.197794,-33.489,7.046836,2,0,139.750237,0,0,
A100401_22_163_10,A100401_22_163,0,,,,10,1,wt,wt_ra1,0,0,,1,ra1,ra2,100,,,39.901998,0.734445,64.699793,0.070842,0.070842,64.699793,64.699793,0.070842,0,0,0,11.336,4.309311,0.189006,-23.208,11.179425,2,0,64.628951,0,0,
A100401_22_163_12,A100401_22_163,1,,,,12,1,wt,wt_ra1,0,0,,1,ra1,ra2,100,,,9.289998,2.303082,62.940584,0.070812,0.070812,62.940584,0.335924,0.070812,0,0,0,29.24,11.595858,0.201476,-4.872,19.693284,2,0,62.869772,3940.373874,0,
A100401_22_163_12,A100401_22_163,0,,,,12,1,wt,wt_ra1,0,0,,1,ra1,ra2,100,,,23.421,2.202058,0.070812,0.070745,0.070745,0.070812,0.070812,0.070745,0,0,0,35.966,14.215491,0.178797,-14.034,16.41755,1,0,0.000067,0,0,
A100401_22_163_12,A100401_22_163,0,,,,12,1,wt,wt_ra1,0,0,,1,ra1,ra2,100,,,37.551999,2.287451,0.070745,0.060245,0.060245,0.070745,0.070745,0.060245,0,0,0,40.151,15.857973,0.192404,-9.849,18.145424,1,0,0.010501,0,0,
A100401_22_163_13,A100401_22_163,1,1,1,,13,1,wt,wt_ra2,0,0,,2,ra2,ra2,167,,,7.006998,1.096378,56.612319,0.099599,0.099599,56.612319,56.612319,0.099599,0,0,0,10.304,4.248558,0.107236,-11.856,15.831903,3,1,56.51272,-2358.362852,0,
A100401_22_163_13,A100401_22_163,0,,,,13,1,wt,wt_ra2,0,0,,2,ra2,ra2,167,,,21.138,1.04742,0.245804,0.099353,0.099353,0.245804,0.099353,0.099353,0,0,0,15.734,6.280795,0.163741,-34.266,7.328215,1,1,0.146451,0,0,
A100401_22_163_13,A100401_22_163,0,,,,13,1,wt,wt_ra2,0,0,,2,ra2,ra2,167,,,35.268999,1.147187,0.245847,0.055872,0.055872,0.245847,0.055872,0.055872,0,0,0,17.471,7.223167,0.142221,-32.529,8.370354,1,0,0.189975,0,0,
A100401_22_163_14,A100401_22_163,1,,,,14,1,wt,wt_ra1,0,0,,1,ra1,ra2,100,,,9.780999,0.74752,143.678161,0.070889,0.070889,143.678161,175.070028,0.070889,0,0,217.013889,8.831,3.734204,0.112013,-4.449,18.244062,7,0,143.607272,-2760.475875,0,
A100401_22_163_14,A100401_22_163,0,,,,14,1,wt,wt_ra1,0,0,,1,ra1,ra2,100,,,23.911998,0.811913,73.877069,0.070828,0.070828,73.877069,79.821201,0.070828,0,0,0,21.08,8.091227,0.228736,-2.856,18.91018,3,0,73.806241,2787.954067,0,
A100401_22_163_14,A100401_22_163,0,,,,14,1,wt,wt_ra1,0,0,,1,ra1,ra2,100,,,38.043,0.87202,0.070828,0.074425,0.074425,0.070828,0.070828,0.074425,0,0,0,34.862,13.229281,0.343783,-15.138,14.101301,1,0,-0.003598,0,0,
A100401_22_163_15,A100401_22_163,1,,,,15,1,wt,wt_ra1,0,0,,1,ra1,ra2,167,,,11.827998,0.618733,140.765766,0.070897,0.070897,140.765766,77.736318,0.070897,0,0,260.416667,9.752,3.977977,0.162421,-11.976,15.042442,5,0,140.694868,-6981.674149,0,
A100401_22_163_15,A100401_22_163,0,,,,15,1,wt,wt_ra1,0,0,,1,ra1,ra2,167,,,25.959,0.63449,191.131498,0.07084,0.07084,191.131498,191.131498,0.07084,0,0,200.320513,11.918,4.692462,0.119512,-22.482,11.919658,4,0,191.060659,-874.467852,0,
A100401_22_163_15,A100401_22_163,0,,,,15,1,wt,wt_ra1,0,0,,1,ra1,ra2,167,,,40.089999,0.734996,141.723356,0.083017,0.083017,141.723356,165.343915,0.083017,0,0,210.43771,12.887,5.416294,0.120444,-14.457,13.824281,5,0,141.640339,-4210.819856,0,
A100401_22_163_16,A100401_22_163,1,1,,,16,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,7.293999,1.8986,0.367905,8.619501,21.769418,1.977911,0.367905,6.588657,29.764251,33.43425,0,24.983,10.556023,0.24785,9885.735,21.208082,1,101,-8.251596,0,-4.788652,
A100401_22_163_16,A100401_22_163,0,,,0,16,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,21.424998,1.862726,110.815603,11.516492,98.27044,7.28693,59.52381,1.515262,17.447324,20.825436,0,15.488,5.462765,0.00052,9388.416,21.388099,4,60,99.299111,5683.930997,-2.413549,
A100401_22_163_16,A100401_22_163,0,,,0,16,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,35.556,1.721436,85.733882,1.240966,83.001328,1.285849,102.124183,0.23604,15.88261,25.447251,0,17.702,7.277253,0,9865.446,20.77139,4,27,84.492916,2211.079299,-5.37812,
A100401_22_163_17,A100401_22_163,1,,,1,17,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,22.641,1.573357,110.815603,6.86436,1.320404,1.182033,133.547009,0.207747,7.560188,11.220719,0,23.774,9.235497,0,9293.118,20.626432,4,24,103.951243,3665.26016,-0.9394,
A100401_22_163_17,A100401_22_163,0,,,0,17,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,36.771999,1.57528,132.696391,1.006052,101.626016,2.422199,0.207747,0.086116,8.929847,21.149214,0,25.655,9.36291,0,8810.055,20.271483,4,22,131.690338,8713.934091,-3.135637,
A100401_22_163_17,A100401_22_163,0,,,0,17,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,57.219999,1.423918,81.699346,2.048509,8.926021,2.29695,168.010753,0.227478,4.057853,3.65119,0,24.263,10.014725,0,9717.063,21.25513,4,19,79.650838,1708.340236,-0.44,
A100401_22_163_18,A100401_22_163,0,,,0,18,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,6.621999,0.803757,176.553672,4.109139,168.010753,5.209636,187.687688,4.145112,23.556232,28.683071,206.270627,15.911,6.244714,0.207278,9832.119,20.405906,8,98,172.444534,-858.311616,-2.802502,
A100401_22_163_18,A100401_22_163,1,1,,,18,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,20.752998,0.854564,155.472637,22.843567,90.975255,16.495117,102.627258,5.287648,29.389845,26.692894,0,23.552,9.312876,0.32995,9864.576,19.947416,4,147,132.62907,9619.959283,-4.013984,
A100401_22_163_18,A100401_22_163,0,,,0,18,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,34.884,0.763413,80.43758,5.161876,73.616019,15.085687,0.249767,3.91825,31.873854,32.765834,0,24.998,10.034905,0.351209,9800.79,20.226432,3,123,75.275704,6450.113676,-2.802535,
A100401_22_163_19,A100401_22_163,1,,,,19,1,wt,wt_ra1,0,0,,1,ra1,ra1,25,,,7.956,0.842518,96.450617,0.071091,97.352025,44.045102,91.776799,0.071091,65.750189,27.997611,0,19.862,7.580152,0.339571,42.006,20.110175,4,3,96.379527,4550.841886,0,
A100401_22_163_19,A100401_22_163,0,,,,19,1,wt,wt_ra1,0,0,,1,ra1,ra1,25,,,22.086999,0.947195,83.333333,0.070838,0.070838,83.333333,0.071091,0.070838,0,0,0,27.551,10.599894,0.401014,0.159,20.169394,3,1,83.262495,3582.898684,0,
A100401_22_163_19,A100401_22_163,0,,,,19,1,wt,wt_ra1,0,0,,1,ra1,ra1,25,,,36.217998,0.805646,79.214195,0.070818,0.070818,79.214195,0.070838,0.070818,0,0,0,35.816,13.642429,0.474522,-1.56,18.858774,2,0,79.143378,6269.277319,0,
A100401_22_163_20,A100401_22_163,0,,1,,20,1,wt,wt_ra1,0,0,,1,ra1,ra1,NA,,,12.766998,1.012499,0.35859,0.070776,0.070776,0.35859,0.35859,0.070776,0,0,0,49.424,19.336187,0,-0.576,20.348686,1,1,0.287813,0,0,
A100401_22_163_20,A100401_22_163,0,,1,,20,1,wt,wt_ra1,0,0,,1,ra1,ra1,NA,,,26.898,1.02387,0.070776,0.070697,0.070697,0.070776,0.070776,0.070697,0,0,0,47.414,18.785307,0,-2.586,19.809178,1,0,0.000079,0,0,
A100401_22_163_20,A100401_22_163,0,,1,,20,1,wt,wt_ra1,0,0,,1,ra1,ra1,NA,,,41.028999,0.975994,0.070776,0.035936,0.070697,0.070697,0.070697,0.035936,0.070697,0,0,61.295,19.8597,0,11.295,20.835695,0,1,0.034841,0,0,
A100401_22_163_21,A100401_22_163,0,,,,21,1,wt,wt_ra1,0,0,,1,ra1,ra1,NA,,,7.767,1.237539,85.382514,0.070847,0.070847,85.382514,0.397272,0.070847,0,0,0,30.446,11.5684,0,-7.842,18.019722,2,0,85.311667,7256.25357,0,
A100401_22_163_21,A100401_22_163,1,,,,21,1,wt,wt_ra1,0,0,,1,ra1,ra1,NA,,,21.897999,1.404741,86.805556,0.070905,51.313629,51.313629,0.070847,0.070905,51.313629,0,0,26.135,10.251884,0,7.143,21.470933,2,1,86.734651,7529.054585,0,
A100401_22_163_21,A100401_22_163,0,,,,21,1,wt,wt_ra1,0,0,,1,ra1,ra1,NA,,,36.028998,1.26127,0.070905,0.053482,0.053482,0.070905,0.070905,0.053482,0,0,0,29.6,12.032405,0,-20.4,13.293675,1,0,0.017422,0,0,
A100401_22_163_22,A100401_22_163,0,,,,22,1,wt,wt_ra2,0,0,,2,ra2,ra2,167,,,1.923,1.816865,0.099506,0.099506,0.099506,0.099506,0.099506,0.099506,0,0,0,36.83,14.61794,0.51424,-13.17,16.434805,1,1,0,0,0,
A100401_22_163_22,A100401_22_163,0,,,,22,1,wt,wt_ra2,0,0,,2,ra2,ra2,167,,,16.053999,1.791758,0.099506,0.070756,0.070756,0.099506,0.070756,0.070756,0,0,0,10088.567,5.047086,0.428063,-4094.553,7.352375,0,1,0.028751,0,0,
A100401_22_163_22,A100401_22_163,1,,,,22,1,wt,wt_ra2,0,0,,2,ra2,ra2,167,,,30.184998,1.894904,0.245268,0.099452,0.099452,0.245268,0.245268,0.099452,0,0,0,34.736,13.930277,0.327102,-15.264,15.825181,1,1,0.145816,0,0,
A100401_22_163_23,A100401_22_163,1,1,,,23,1,wt,wt_ra1,0,0,,1,ra1,ra1,NA,,,52.008,1.083433,87.168759,0.10538,0.217023,0.217023,55.7041,0.10538,0.217023,0,202.265372,10.838,4.48112,0.283491,4603.014,19.683838,4,1,87.063379,2742.735259,0,
A100401_22_163_23,A100401_22_163,0,,,,23,1,wt,wt_ra1,0,0,,1,ra1,ra1,NA,,,66.138999,1.150229,93.005952,0.186846,0.880009,122.54902,93.005952,0.281874,84.566381,65.193492,0,11.471,4.882442,0.240512,6499.311,20.479111,3,7,92.819106,-4441.946929,0,
A100401_22_163_23,A100401_22_163,0,,,,23,1,wt,wt_ra1,0,0,,1,ra1,ra1,NA,,,80.269998,1.040321,98.27044,0.119226,1.347476,0.119226,98.27044,1.079168,0.733351,0.868504,0,15.944,6.451744,0.373683,9105.672,20.423344,2,3,98.151214,0,0,
A100401_22_163_25,A100401_22_163,1,1,,,25,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,214.876998,0.770052,0.049017,7.233796,15.96424,4.586819,15.96424,2.835239,31.919652,46.901962,0,11.798,4.066439,0.289587,9868.182,20.134063,1,99,-7.184779,0,-1.362973,
A100401_22_163_25,A100401_22_163,0,,,0,25,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,229.008,0.731368,0.258119,3.82614,22.719011,21.566598,22.719011,1.435099,26.470099,39.625586,0,14.06,6.060792,0.303076,9627.372,20.351501,1,71,-3.568021,0,-4.982313,
A100401_22_163_25,A100401_22_163,0,,,0,25,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,243.138999,0.674539,67.640693,1.264312,59.52381,15.432099,63.90593,2.809241,19.499147,25.607982,0,14.453,5.930519,0.295516,9784.725,19.870758,3,46,66.376381,252.6219,-4.151551,
A100401_22_163_26,A100401_22_163,1,,,,26,1,wt,wt_sa2,0,0,bad_descrim,4,sa2,sa2,,,,5.820999,1.102257,50.322061,26.675203,67.640693,16.869096,50.322061,0.179073,37.913058,39.447475,0,20.837,8.435122,0.363251,9960.309,20.963305,3,303,23.646858,2512.815685,-4.202192,
A100401_22_163_26,A100401_22_163,0,,,0,26,1,wt,wt_sa2,0,0,,4,sa2,sa2,,,,24.237,1.240398,59.354226,22.092612,58.031569,16.587049,0.395065,16.587049,35.527384,59.596601,0,25.46,9.619954,0.451276,10004.244,19.310814,2,264,37.261614,3499.475397,-0.3983,
A100401_22_163_26,A100401_22_163,0,,,0,26,1,wt,wt_sa2,0,0,,4,sa2,sa2,,,,49.743,1.164614,51.567657,24.654832,64.102564,18.684604,51.567657,18.684604,33.768694,15.129851,0,20.9,8.500648,0.328835,10003.284,19.465491,3,292,26.912824,2655.040151,-1.824032,
A100401_22_163_26,A100401_22_163,0,,,0,26,1,wt,wt_sa2,0,0,,4,sa2,sa2,,,,63.873999,1.085557,53.282182,18.452908,47.45634,56.612319,1.902761,56.612319,25.582952,10.238114,0,30.269,12.228189,0.491148,10002.285,20.054589,2,228,34.829274,2737.607691,-2.804693,
A100401_22_166_1,A100401_22_166,1,,,,1,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,171.809499,2.025681,89.629779,0.6045385,57.45233225,4.6650305,115.079081,0.5024475,10.97483,16.52163925,121.913375,11.795,5.32056325,0.140475,8503.251,21.18315025,4.75,19.5,89.0252405,-1049.975279,-1.83664725,2.4
A100401_22_166_2,A100401_22_166,1,1,,,2,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,130.9874985,0.18505325,77.05622825,0.07182575,37.882574,33.89392375,19.30978075,0.07182575,23.328815,6.3769475,0,27.4475,12.1610785,0.42634925,76.9875,20.06008525,2.5,2.5,76.984403,4828.487141,-93.3322975,2.31
A100401_22_166_3,A100401_22_166,1,1,,,3,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,58.49249925,0.50046525,246.3585245,8.34956025,241.6422095,20.06653575,210.3422405,22.32891225,35.49595175,47.89284625,264.2969068,15.81875,7.079429,0.176791,9968.47875,20.33210975,10,124,238.0089643,4742.480707,-6.9191355,2.11
A100401_22_166_4,A100401_22_166,1,1,,,4,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,27.647499,1.194993,16.12819425,0.06501675,17.8840645,17.88984925,0.195372,0.06501675,17.836758,0,0,37.367,14.54308575,0.41131025,-5.241,18.0610025,1.5,0.25,16.0631775,1024.487012,0,2.06
A100401_22_166_5,A100401_22_166,1,1,,1,5,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,28.994499,0.44001425,107.9848365,0.07232,69.312338,25.4743285,142.2231135,0.07232,42.3355845,14.7415975,0,18.275,7.4910595,0.423484,270.267,20.32320875,4.5,10,107.9125163,2458.20211,-314.0879885,1.82
A100401_22_166_6,A100401_22_166,1,,,,6,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,30.07249875,0.4889145,66.915018,0.0854375,7.470174,79.24563825,7.470174,0.0854375,45.2393445,36.00821825,66.77350425,12.34325,4.53336125,0.400593,20.84325,12.983867,1.5,1.5,66.82958025,0,0,1.59
A100401_22_166_7,A100401_22_166,1,1,,1,7,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,29.600499,0.56623325,227.3390488,36.788242,225.9528463,52.91595225,189.52693,5.77450575,53.95847475,54.7744925,212.2153395,16.991,7.2482645,0.464775,9968.979,20.229112,9.25,214.5,190.5508065,3447.352328,-6.39550825,2.02
A100401_22_166_8,A100401_22_166,1,1,,,8,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,28.00649925,2.615685,180.8541475,13.48617975,163.2461475,28.06912075,203.2400843,13.135227,46.940185,53.1822655,205.8734988,17.16275,6.52205875,0,9904.79475,22.48573275,7.75,153.5,167.3679675,2186.418081,-1.09968425,2.55
A100401_22_166_9,A100401_22_166,1,1,,,9,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,41.64649875,2.028318,84.72869875,0.0709395,23.83550475,73.9091105,66.39272,0.0709395,17.2320765,5.9308685,0,20.25125,9.2063285,0.21254575,8.26725,21.2850575,3.5,1,84.6577595,2576.924564,0,2.24
A100401_22_166_10,A100401_22_166,1,1,,,10,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,31.05949875,0.833166,270.6321458,10.66363725,259.836227,39.4576095,288.9189213,12.504,43.43462175,42.31163225,319.183663,13.36325,6.28864675,0.57120975,9891.91125,17.61350175,12.5,201.5,259.9685083,798.8101115,-7.89874725,1.74
A100401_22_166_11,A100401_22_166,1,1,,,11,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,71.549499,0.7680575,73.2770595,2.66950975,99.2707555,9.809123,42.18247925,3.62436675,18.3747975,30.78454975,0,25.691,11.0292115,0.26784075,9454.311,20.77824725,3.5,43.5,70.60755,3357.323737,-3.73381125,2.33
A100401_22_166_12,A100401_22_166,1,1,,,12,2,pirc,pirc_ra2,1,0,,2,ra2,,,,,145.4834993,1.76079475,123.2449218,0.099563,7.420662,77.9815215,34.96228575,0.099563,7.34602725,0,321.7630173,9.30275,3.57156175,0.237854,-12.34125,16.405378,3.75,3.75,123.1453593,-1763.241374,0,1.78
A100401_22_166_13,A100401_22_166,1,1,,,13,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,46.94924925,1.76111825,0.7389335,0.06871475,6.6162325,111.1965638,6.677231,0.06871475,58.837849,73.90632875,0,68.80475,13.4822755,0.4608435,250.65675,18.2788485,1.25,1.25,0.670219,0,0,1.67
A100401_22_166_14,A100401_22_166,1,,,,14,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,29.393499,0.13564375,161.999483,1.4969575,108.1604048,1.024908,138.2144353,1.03120425,25.463865,37.87644925,193.3422438,16.031,8.12385725,1.16155475,9531.879,19.612403,6.5,39.5,160.5025258,-428.5130843,-4.686901,2.31
A100401_22_166_15,A100401_22_166,1,,,,15,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,28.664499,0.64093675,71.4912165,0.07090325,30.9782205,59.82559925,67.53752225,0.07090325,30.942791,0,0,17.687,7.07129125,0.2250455,-5.085,17.1204065,2.75,0.5,71.420313,3855.037198,0,2.24
A100401_22_166_16,A100401_22_166,1,1,,,16,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,181.2244988,1.47754825,29.93927025,0.07140325,34.06057525,18.65401725,0.113157,0.07140325,23.4823745,5.359148,0,43.73525,16.50175625,0.177465,126.11925,20.66466875,1.5,5,29.86786725,1009.156136,-34.2684045,2.06
A100401_22_166_18,A100401_22_166,1,1,,,18,2,pirc,pirc_ra2,1,0,,2,ra2,,,,,29.50549875,2.18216725,88.29207925,0.10169625,55.89237225,28.2015475,88.04071225,0.10169625,32.376418,26.54265375,0,12.99125,5.93905025,0.14648675,206.92725,21.6958635,4.75,3,88.190383,-1916.486738,-468.4958788,2.26
