afferenet,animal,use,popCode,dontUSE,figure,cell,treatment,treatment_text,treatment_class,Cancer,Chemotherapy,note,#NAME?,autoClass,manualClass,high_firing_Hz,receptiveField,Trial#,TrigStart.R,ms.F,Dyn.pfr,stat.halfHold,stat.firstSpikeHold,Stat.HzEnd,dyn.halfRamp,Stat.pps,Stat.avg,Stat.HzSTD,Dyn.IB,Thr.T,Thr.F,Thr.L,Stat.LSpkT,Stat.LSpkF,Dyn.spkNum,Stat.spkNum,Dyn.DI,Dyn.slp,Stat.slp,cond_delay
A100401_22_152_cell 8,A100401_22_152,0,,,,cell 8,1,wt,wt_sa1,0,0,,3,sa1,,,,,153.498,0.354061,0.247359,3.982667,24.654832,0.717698,24.654832,0.441581,19.130644,21.28825,0,15.734,6.379244,0.619772,7763.67,19.953591,2,43,-3.735308,0,-5.697574,
A100401_22_152_cell 8,A100401_22_152,0,,,,cell 8,1,wt,wt_sa1,0,0,,3,sa1,,,,,167.628999,0.359766,0.248825,0.651714,19.917145,2.328007,19.917145,0.685172,24.168538,30.858263,0,15.071,5.826765,0.585103,8566.719,19.401368,1,32,-0.402889,0,-4.338088,
A100401_22_152_cell 9,A100401_22_152,0,,1,,cell 9,1,wt,wt_ra1,0,0,,1,ra1,,,,,131.121,0.378116,0.053896,0.287769,0.058175,65.513627,0.058175,0.181257,40.323249,28.609208,0,2320.046,19.584922,0.621218,8615.838,19.976299,0,29,-0.233874,0,-0.759404,
A100401_22_152_cell 9,A100401_22_152,0,,1,,cell 9,1,wt,wt_ra1,0,0,,1,ra1,,,,,145.251999,0.23532,65.513627,0.070751,0.181257,0.181257,0.181257,0.070751,0.181257,0,0,51.863,19.619272,0.499229,1.863,19.854592,1,1,65.442875,0,0,
A100401_22_152_cell 9,A100401_22_152,0,,1,,cell 9,1,wt,wt_ra1,0,0,,1,ra1,,,,,159.382998,0.3727,0.181257,0.038301,0.070751,0.070751,0.070751,0.038301,0.070751,0,0,54.848,19.56545,0.44463,4.848,19.93815,1,1,0.142956,0,0,
A100401_22_152_cell 10,A100401_22_152,1,,,,cell 10,1,wt,wt_ra1,0,0,,1,ra1,,,,,123.265998,0.630031,0.246934,0.070732,0.070732,0.246934,0.070732,0.070732,0,0,0,12.968,5.480388,0.181446,-37.032,6.110419,1,0,0.176203,0,0,
A100401_22_152_cell 10,A100401_22_152,0,,,,cell 10,1,wt,wt_ra1,0,0,,1,ra1,,,,,137.397,0.653506,0.070732,0.07075,0.07075,0.070732,0.07075,0.07075,0,0,0,19.934,7.756629,0.206062,-30.066,8.410136,1,0,-0.000019,0,0,
A100401_22_152_cell 10,A100401_22_152,0,,,,cell 10,1,wt,wt_ra1,0,0,,1,ra1,,,,,151.527999,0.611333,0.07075,0.051757,0.051757,0.07075,0.051757,0.051757,0,0,0,23.111,9.136671,0.197734,-26.889,9.748004,1,0,0.018993,0,0,
A100401_22_152_cell 11,A100401_22_152,1,,,,cell 11,1,wt,wt_ra2,0,0,,2,ra2,,,,,71.382999,0.863935,0.252271,0.073465,62.003968,16.979082,0.252271,0.073465,31.454979,14.071282,0,37.871,14.858431,0.524971,508.047,20.287105,2,14,0.178806,0,-84.135109,
A100401_22_152_cell 11,A100401_22_152,0,,,,cell 11,1,wt,wt_ra2,0,0,,2,ra2,,,,,85.513998,0.882501,0.073465,0.073045,62.003968,15.151515,0.073465,0.073045,29.132966,13.543902,0,38.888,15.506893,0.486805,430.632,20.495459,2,11,0.00042,0,-94.89331,
